               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076011,            0.036155,            0.014225,             0.66571,             0.39703,             0.44364,             0.17803,             0.06467,            0.026427,           0.0047668,           0.0033249,           0.0033249,            0.070076
                   1,            0.063238,            0.032673,           0.0063653,             0.56255,             0.46205,             0.47927,             0.17639,            0.063927,            0.024376,           0.0038419,           0.0065264,           0.0065264,            0.039944
                   2,            0.065976,            0.034854,           0.0071136,             0.42558,             0.38529,             0.28608,            0.081346,            0.078124,            0.026936,           0.0020664,           0.0095959,           0.0095959,           0.0096803
                   3,            0.069299,            0.038786,           0.0098479,             0.48643,             0.33521,             0.32308,             0.09126,            0.078392,            0.028895,           0.0028361,            0.009406,            0.009406,            0.009406
                   4,            0.064541,            0.038869,           0.0078845,             0.42903,             0.20516,             0.19602,            0.051035,            0.094015,            0.029022,           0.0026285,            0.009406,            0.009406,            0.009406
                   5,            0.061624,            0.037306,           0.0072068,             0.74529,             0.33997,             0.42456,             0.13819,            0.067036,            0.025185,           0.0023918,            0.009208,            0.009208,            0.009208
                   6,            0.057826,            0.035482,           0.0058604,             0.70576,             0.44284,             0.49591,             0.18232,            0.064314,            0.027186,           0.0014675,             0.00901,             0.00901,             0.00901
                   7,            0.054345,            0.033961,           0.0045308,             0.76776,             0.49536,             0.56177,             0.19922,            0.058731,            0.026106,           0.0025094,            0.008812,            0.008812,            0.008812
                   8,            0.052368,            0.032458,            0.003742,             0.64975,             0.50311,             0.56067,              0.2128,            0.057577,            0.025743,           0.0016366,            0.008614,            0.008614,            0.008614
                   9,            0.049948,            0.030583,           0.0031409,             0.56195,              0.5395,             0.53907,             0.22422,            0.058068,             0.02666,           0.0038109,            0.008416,            0.008416,            0.008416
                  10,            0.048405,            0.029537,           0.0026018,             0.70726,             0.49497,             0.56928,             0.22875,            0.055484,            0.025647,           0.0026225,            0.008218,            0.008218,            0.008218
                  11,            0.046772,            0.028188,           0.0021793,             0.81787,             0.55813,             0.65542,             0.29253,             0.05285,            0.024289,           0.0028983,             0.00802,             0.00802,             0.00802
                  12,            0.045775,            0.027245,           0.0019375,             0.87588,             0.48214,             0.62261,             0.27101,            0.055945,            0.024734,           0.0033898,            0.007822,            0.007822,            0.007822
                  13,            0.044367,             0.02631,           0.0018164,             0.79733,             0.59714,             0.67585,             0.31629,            0.053284,            0.024632,            0.003005,            0.007624,            0.007624,            0.007624
