               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075955,            0.036281,            0.014085,             0.63635,             0.38703,             0.39777,             0.16363,            0.073813,            0.027466,            0.004119,           0.0033249,           0.0033249,            0.070076
                   1,            0.063497,            0.033125,           0.0066486,             0.41631,             0.51582,             0.48287,             0.20171,            0.059834,            0.025692,           0.0037344,           0.0063286,           0.0063286,            0.039746
                   2,             0.06505,            0.034543,           0.0068838,             0.64874,             0.25485,             0.32065,             0.11222,            0.091637,            0.025178,            0.003465,           0.0090024,           0.0090024,           0.0090868
                   3,            0.067417,            0.037429,           0.0092359,             0.50401,             0.23923,             0.25829,            0.083768,            0.094204,            0.027452,           0.0052633,            0.008515,            0.008515,            0.008515
                   4,            0.062591,            0.037824,           0.0080556,             0.45305,             0.33996,             0.30713,            0.088772,            0.083743,             0.03011,           0.0031873,            0.008515,            0.008515,            0.008515
                   5,            0.059486,            0.035681,           0.0064466,             0.49272,             0.41974,             0.43505,             0.16098,            0.067587,            0.027785,           0.0026007,             0.00802,             0.00802,             0.00802
                   6,            0.055091,            0.033947,           0.0048439,             0.66883,             0.48315,             0.55935,             0.19637,            0.057829,            0.025805,           0.0021405,            0.007525,            0.007525,            0.007525
                   7,            0.050937,            0.032109,            0.003578,              0.7912,             0.51388,             0.58653,             0.21875,            0.058467,            0.025713,           0.0057179,             0.00703,             0.00703,             0.00703
                   8,            0.049049,            0.030318,           0.0027338,             0.82133,             0.55052,             0.64682,             0.26084,              0.0534,            0.024439,           0.0028609,            0.006535,            0.006535,            0.006535
                   9,            0.047438,            0.028561,           0.0023991,              0.6617,             0.60452,             0.65534,             0.28455,            0.050969,            0.023589,          0.00084421,             0.00604,             0.00604,             0.00604
                  10,            0.045783,            0.027783,           0.0020969,             0.86029,             0.54083,             0.68465,             0.29643,            0.050527,            0.023044,           0.0008494,            0.005545,            0.005545,            0.005545
                  11,            0.044061,            0.026678,            0.001865,             0.88704,             0.59996,             0.72329,             0.33098,            0.050471,            0.022493,           0.0016609,             0.00505,             0.00505,             0.00505
                  12,             0.04216,             0.02565,           0.0016507,             0.83038,             0.66576,             0.74729,             0.34226,            0.048778,            0.021496,          0.00053307,            0.004555,            0.004555,            0.004555
                  13,            0.041864,            0.025078,            0.001645,             0.83963,             0.67508,             0.75672,             0.36346,            0.047878,            0.022266,          0.00076916,             0.00406,             0.00406,             0.00406
                  14,            0.040743,            0.024451,           0.0015503,             0.83302,              0.6711,             0.74014,             0.35221,            0.047804,            0.023117,            0.001306,            0.003565,            0.003565,            0.003565
                  15,            0.039607,            0.024068,           0.0014343,              0.8471,             0.66071,             0.73473,             0.35827,            0.046091,            0.026112,          0.00061014,             0.00307,             0.00307,             0.00307
                  16,            0.038391,            0.023415,           0.0013333,             0.85282,             0.69281,             0.74955,             0.38034,            0.044594,            0.024575,          0.00072898,            0.002575,            0.002575,            0.002575
                  17,             0.03848,            0.023166,           0.0013364,             0.85799,             0.69526,             0.76303,             0.36842,            0.045169,            0.023187,          0.00069116,             0.00208,             0.00208,             0.00208
                  18,            0.037717,            0.022668,            0.001265,             0.87104,             0.69837,             0.76576,             0.36968,             0.04536,            0.022034,          0.00052692,            0.001585,            0.001585,            0.001585
                  19,            0.037751,            0.022387,           0.0012859,             0.84899,             0.71149,              0.7779,               0.372,            0.044657,            0.021572,          0.00056314,             0.00109,             0.00109,             0.00109
